id,province_id,name,alt_name,latitude,longitude
1101,11,KABUPATEN SIMEULUE,KABUPATEN SIMEULUE,2.61667,96.08333
1102,11,KABUPATEN ACEH SINGKIL,KABUPATEN ACEH SINGKIL,2.41667,97.91667
1103,11,KABUPATEN ACEH SELATAN,KABUPATEN ACEH SELATAN,3.16667,97.41667
1104,11,KABUPATEN ACEH TENGGARA,KABUPATEN ACEH TENGGARA,3.36667,97.7
1105,11,KABUPATEN ACEH TIMUR,KABUPATEN ACEH TIMUR,4.63333,97.63333
1106,11,KABUPATEN ACEH TENGAH,KABUPATEN ACEH TENGAH,4.51,96.855
1107,11,KABUPATEN ACEH BARAT,KABUPATEN ACEH BARAT,4.45,96.16667
1108,11,KABUPATEN ACEH BESAR,KABUPATEN ACEH BESAR,5.38333,95.51667
1109,11,KABUPATEN PIDIE,KABUPATEN PIDIE,5.08,96.11
1110,11,KABUPATEN BIREUEN,KABUPATEN BIREUEN,5.08333,96.58333
1111,11,KABUPATEN ACEH UTARA,KABUPATEN ACEH UTARA,4.97,97.14
1112,11,KABUPATEN ACEH BARAT DAYA,KABUPATEN ACEH BARAT DAYA,3.83333,96.88333
1113,11,KABUPATEN GAYO LUES,KABUPATEN GAYO LUES,3.95,97.39
1114,11,KABUPATEN ACEH TAMIANG,KABUPATEN ACEH TAMIANG,4.25,97.96667
1115,11,KABUPATEN NAGAN RAYA,KABUPATEN NAGAN RAYA,4.16667,96.51667
1116,11,KABUPATEN ACEH JAYA,KABUPATEN ACEH JAYA,4.86,95.64
1117,11,KABUPATEN BENER MERIAH,KABUPATEN BENER MERIAH,4.73015,96.86156
1118,11,KABUPATEN PIDIE JAYA,KABUPATEN PIDIE JAYA,5.15,96.21667
1171,11,KOTA BANDA ACEH,KOTA BANDA ACEH,5.54167,95.33333
1172,11,KOTA SABANG,KOTA SABANG,5.82164,95.31086
1173,11,KOTA LANGSA,KOTA LANGSA,4.47,97.93
1174,11,KOTA LHOKSEUMAWE,KOTA LHOKSEUMAWE,5.13333,97.06667
1175,11,KOTA SUBULUSSALAM,KOTA SUBULUSSALAM,2.75,97.93333
