id,province_id,name,alt_name,latitude,longitude
1701,17,KABUPATEN BENGKULU SELATAN,KABUPATEN BENGKULU SELATAN,-4.35,103.03333
1702,17,KABUPATEN REJANG LEBONG,KABUPATEN REJANG LEBONG,-3.43333,102.71667
1703,17,KABUPATEN BENGKULU UTARA,KABUPATEN BENGKULU UTARA,-3.33333,102.05
1704,17,KABUPATEN KAUR,KABUPATEN KAUR,-4.78179,103.36109
1705,17,KABUPATEN SELUMA,KABUPATEN SELUMA,-3.96644,102.47429
1706,17,KABUPATEN MUKOMUKO,KABUPATEN MUKOMUKO,-3.07438,101.54766
1707,17,KABUPATEN LEBONG,KABUPATEN LEBONG,-3.24278,102.3349
1708,17,KABUPATEN KEPAHIANG,KABUPATEN KEPAHIANG,-3.60194,102.56424
1709,17,KABUPATEN BENGKULU TENGAH,KABUPATEN BENGKULU TENGAH,-3.20679,102.12616
1771,17,KOTA BENGKULU,KOTA BENGKULU,-3.81667,102.31667
