id,province_id,name,alt_name,latitude,longitude
1501,15,KABUPATEN KERINCI,KABUPATEN KERINCI,-2.03333,101.53333
1502,15,KABUPATEN MERANGIN,KABUPATEN MERANGIN,-2.06933,102.13303
1503,15,KABUPATEN SAROLANGUN,KABUPATEN SAROLANGUN,-2.3,102.65
1504,15,KABUPATEN BATANG HARI,KABUPATEN BATANG HARI,-1.75,103.11667
1505,15,KABUPATEN MUARO JAMBI,KABUPATEN MUARO JAMBI,-1.55214,103.82163
1506,15,KABUPATEN TANJUNG JABUNG TIMUR,KABUPATEN TANJUNG JABUNG TIMUR,-1.13198,103.61755
1507,15,KABUPATEN TANJUNG JABUNG BARAT,KABUPATEN TANJUNG JABUNG BARAT,-1.1544,103.24402
1508,15,KABUPATEN TEBO,KABUPATEN TEBO,-1.45576,102.37473
1509,15,KABUPATEN BUNGO,KABUPATEN BUNGO,-1.50222,101.96
1571,15,KOTA JAMBI,KOTA JAMBI,-1.61667,103.65
1572,15,KOTA SUNGAI PENUH,KOTA SUNGAI PENUH,-2.10896,101.32175
