id,province_id,name,alt_name,latitude,longitude
6101,61,KABUPATEN SAMBAS,KABUPATEN SAMBAS,1.41667,109.33333
6102,61,KABUPATEN BENGKAYANG,KABUPATEN BENGKAYANG,1.06911,109.66393
6103,61,KABUPATEN LANDAK,KABUPATEN LANDAK,0.42373,109.75917
6104,61,KABUPATEN MEMPAWAH,KABUPATEN MEMPAWAH,0.25,109.16667
6105,61,KABUPATEN SANGGAU,KABUPATEN SANGGAU,0.25472,110.45
6106,61,KABUPATEN KETAPANG,KABUPATEN KETAPANG,-1.58333,110.5
6107,61,KABUPATEN SINTANG,KABUPATEN SINTANG,-0.08333,112.08333
6108,61,KABUPATEN KAPUAS HULU,KABUPATEN KAPUAS HULU,0.81667,112.76667
6109,61,KABUPATEN SEKADAU,KABUPATEN SEKADAU,0.03485,110.95066
6110,61,KABUPATEN MELAWI,KABUPATEN MELAWI,-0.33617,111.698
6111,61,KABUPATEN KAYONG UTARA,KABUPATEN KAYONG UTARA,-1.43711,110.79781
6112,61,KABUPATEN KUBU RAYA,KABUPATEN KUBU RAYA,0.01637,109.33731
6171,61,KOTA PONTIANAK,KOTA PONTIANAK,-0.08333,109.36667
6172,61,KOTA SINGKAWANG,KOTA SINGKAWANG,0.90734,109.00103
