id,province_id,name,alt_name,latitude,longitude
6301,63,KABUPATEN TANAH LAUT,KABUPATEN TANAH LAUT,-3.88333,114.86667
6302,63,KABUPATEN KOTA BARU,KABUPATEN KOTA BARU,-3.0,116.0
6303,63,KABUPATEN BANJAR,KABUPATEN BANJAR,-3.31667,115.08333
6304,63,KABUPATEN BARITO KUALA,KABUPATEN BARITO KUALA,-3.08333,114.61667
6305,63,KABUPATEN TAPIN,KABUPATEN TAPIN,-2.91667,115.03333
6306,63,KABUPATEN HULU SUNGAI SELATAN,KABUPATEN HULU SUNGAI SELATAN,-2.75,115.2
6307,63,KABUPATEN HULU SUNGAI TENGAH,KABUPATEN HULU SUNGAI TENGAH,-2.61667,115.41667
6308,63,KABUPATEN HULU SUNGAI UTARA,KABUPATEN HULU SUNGAI UTARA,-2.45,115.13333
6309,63,KABUPATEN TABALONG,KABUPATEN TABALONG,-1.88333,115.5
6310,63,KABUPATEN TANAH BUMBU,KABUPATEN TANAH BUMBU,-3.45413,115.70372
6311,63,KABUPATEN BALANGAN,KABUPATEN BALANGAN,-2.32314,115.62922
6371,63,KOTA BANJARMASIN,KOTA BANJARMASIN,-3.32444,114.59102
6372,63,KOTA BANJAR BARU,KOTA BANJAR BARU,-3.41667,114.83333
