id,province_id,name,alt_name,latitude,longitude
6401,64,KABUPATEN PASER,KABUPATEN PASER,-1.43517,116.23535
6402,64,KABUPATEN KUTAI BARAT,KABUPATEN KUTAI BARAT,-0.59417,115.51575
6403,64,KABUPATEN KUTAI KARTANEGARA,KABUPATEN KUTAI KARTANEGARA,-0.44019,116.98139
6404,64,KABUPATEN KUTAI TIMUR,KABUPATEN KUTAI TIMUR,1.03769,117.83112
6405,64,KABUPATEN BERAU,KABUPATEN BERAU,2.0,117.3
6409,64,KABUPATEN PENAJAM PASER UTARA,KABUPATEN PENAJAM PASER UTARA,-1.25,116.83333
6411,64,KABUPATEN MAHAKAM HULU,KABUPATEN MAHAKAM HULU,0.37822,115.38048
6471,64,KOTA BALIKPAPAN,KOTA BALIKPAPAN,-1.16667,116.88333
6472,64,KOTA SAMARINDA,KOTA SAMARINDA,-0.43333,117.18333
6474,64,KOTA BONTANG,KOTA BONTANG,0.12526,117.49603
