id,province_id,name,alt_name,latitude,longitude
1801,18,KABUPATEN LAMPUNG BARAT,KABUPATEN LAMPUNG BARAT,-5.14904,104.19309
1802,18,KABUPATEN TANGGAMUS,KABUPATEN TANGGAMUS,-5.38508,104.62349
1803,18,KABUPATEN LAMPUNG SELATAN,KABUPATEN LAMPUNG SELATAN,-5.4531,104.9877
1804,18,KABUPATEN LAMPUNG TIMUR,KABUPATEN LAMPUNG TIMUR,-5.10273,105.68003
1805,18,KABUPATEN LAMPUNG TENGAH,KABUPATEN LAMPUNG TENGAH,-4.86667,105.26667
1806,18,KABUPATEN LAMPUNG UTARA,KABUPATEN LAMPUNG UTARA,-4.81667,104.8
1807,18,KABUPATEN WAY KANAN,KABUPATEN WAY KANAN,-4.44705,104.52753
1808,18,KABUPATEN TULANGBAWANG,KABUPATEN TULANGBAWANG,-4.20604,105.57999
1809,18,KABUPATEN PESAWARAN,KABUPATEN PESAWARAN,-5.4298,105.17899
1810,18,KABUPATEN PRINGSEWU,KABUPATEN PRINGSEWU,-5.42211,104.93454
1811,18,KABUPATEN MESUJI,KABUPATEN MESUJI,-4.0439,105.4013
1812,18,KABUPATEN TULANG BAWANG BARAT,KABUPATEN TULANG BAWANG BARAT,-4.43975,105.0444
1813,18,KABUPATEN PESISIR BARAT,KABUPATEN PESISIR BARAT,-5.19323,103.93976
1871,18,KOTA BANDAR LAMPUNG,KOTA BANDAR LAMPUNG,-5.41667,105.25
1872,18,KOTA METRO,KOTA METRO,-5.11856,105.29949
