id,province_id,name,alt_name,latitude,longitude
8101,81,KABUPATEN MALUKU TENGGARA BARAT,KABUPATEN MALUKU TENGGARA BARAT,-7.61186,131.38
8102,81,KABUPATEN MALUKU TENGGARA,KABUPATEN MALUKU TENGGARA,-5.75,132.73334
8103,81,KABUPATEN MALUKU TENGAH,KABUPATEN MALUKU TENGAH,-3.29167,128.9675
8104,81,KABUPATEN BURU,KABUPATEN BURU,-3.32767,126.68413
8105,81,KABUPATEN KEPULAUAN ARU,KABUPATEN KEPULAUAN ARU,-6.17059,134.46991
8106,81,KABUPATEN SERAM BAGIAN BARAT,KABUPATEN SERAM BAGIAN BARAT,-3.1027,128.42996
8107,81,KABUPATEN SERAM BAGIAN TIMUR,KABUPATEN SERAM BAGIAN TIMUR,-3.39851,130.39166
8108,81,KABUPATEN MALUKU BARAT DAYA,KABUPATEN MALUKU BARAT DAYA,-7.8296,126.17386
8109,81,KABUPATEN BURU SELATAN,KABUPATEN BURU SELATAN,-3.52187,126.59271
8171,81,KOTA AMBON,KOTA AMBON,-3.7,128.18333
8172,81,KOTA TUAL,KOTA TUAL,-5.64301,132.74934
