id,province_id,name,alt_name,latitude,longitude
8201,82,KABUPATEN HALMAHERA BARAT,KABUPATEN HALMAHERA BARAT,1.41709,127.55264
8202,82,KABUPATEN HALMAHERA TENGAH,KABUPATEN HALMAHERA TENGAH,0.48056,128.25
8203,82,KABUPATEN KEPULAUAN SULA,KABUPATEN KEPULAUAN SULA,-1.8646,125.69046
8204,82,KABUPATEN HALMAHERA SELATAN,KABUPATEN HALMAHERA SELATAN,-0.3955,127.90833
8205,82,KABUPATEN HALMAHERA UTARA,KABUPATEN HALMAHERA UTARA,1.73194,128.00778
8206,82,KABUPATEN HALMAHERA TIMUR,KABUPATEN HALMAHERA TIMUR,1.33517,128.48627
8207,82,KABUPATEN PULAU MOROTAI,KABUPATEN PULAU MOROTAI,2.19924,128.40546
8208,82,KABUPATEN PULAU TALIABU,KABUPATEN PULAU TALIABU,-1.84578,124.78992
8271,82,KOTA TERNATE,KOTA TERNATE,0.89618,127.31016
8272,82,KOTA TIDORE KEPULAUAN,KOTA TIDORE KEPULAUAN,0.60962,127.56981
