id,province_id,name,alt_name,latitude,longitude
5201,52,KABUPATEN LOMBOK BARAT,KABUPATEN LOMBOK BARAT,-8.69583,116.11667
5202,52,KABUPATEN LOMBOK TENGAH,KABUPATEN LOMBOK TENGAH,-8.7,116.3
5203,52,KABUPATEN LOMBOK TIMUR,KABUPATEN LOMBOK TIMUR,-8.53333,116.53333
5204,52,KABUPATEN SUMBAWA,KABUPATEN SUMBAWA,-8.7439,117.3324
5205,52,KABUPATEN DOMPU,KABUPATEN DOMPU,-8.5094,118.4816
5206,52,KABUPATEN BIMA,KABUPATEN BIMA,-8.6,118.61667
5207,52,KABUPATEN SUMBAWA BARAT,KABUPATEN SUMBAWA BARAT,-8.75159,116.92132
5208,52,KABUPATEN LOMBOK UTARA,KABUPATEN LOMBOK UTARA,-8.35214,116.40152
5271,52,KOTA MATARAM,KOTA MATARAM,-8.5833,116.1167
5272,52,KOTA BIMA,KOTA BIMA,-8.46728,118.75259
