id,province_id,name,alt_name,latitude,longitude
5301,53,KABUPATEN SUMBA BARAT,KABUPATEN SUMBA BARAT,-9.56667,119.45
5302,53,KABUPATEN SUMBA TIMUR,KABUPATEN SUMBA TIMUR,-9.88333,120.25
5303,53,KABUPATEN KUPANG,KABUPATEN KUPANG,-9.91667,123.83333
5304,53,KABUPATEN TIMOR TENGAH SELATAN,KABUPATEN TIMOR TENGAH SELATAN,-9.83333,124.4
5305,53,KABUPATEN TIMOR TENGAH UTARA,KABUPATEN TIMOR TENGAH UTARA,-9.33136,124.51904
5306,53,KABUPATEN BELU,KABUPATEN BELU,-9.41258,124.95066
5307,53,KABUPATEN ALOR,KABUPATEN ALOR,-8.3,124.56667
5308,53,KABUPATEN LEMBATA,KABUPATEN LEMBATA,-8.41396,123.55225
5309,53,KABUPATEN FLORES TIMUR,KABUPATEN FLORES TIMUR,-8.24224,122.96817
5310,53,KABUPATEN SIKKA,KABUPATEN SIKKA,-8.66667,122.36667
5311,53,KABUPATEN ENDE,KABUPATEN ENDE,-8.84056,121.66389
5312,53,KABUPATEN NGADA,KABUPATEN NGADA,-8.66667,121.0
5313,53,KABUPATEN MANGGARAI,KABUPATEN MANGGARAI,-8.56667,120.41667
5314,53,KABUPATEN ROTE NDAO,KABUPATEN ROTE NDAO,-10.73617,123.12054
5315,53,KABUPATEN MANGGARAI BARAT,KABUPATEN MANGGARAI BARAT,-8.64484,119.88281
5316,53,KABUPATEN SUMBA TENGAH,KABUPATEN SUMBA TENGAH,-9.62941,119.61914
5317,53,KABUPATEN SUMBA BARAT DAYA,KABUPATEN SUMBA BARAT DAYA,-9.56216,119.08905
5318,53,KABUPATEN NAGEKEO,KABUPATEN NAGEKEO,-8.8721,121.20963
5319,53,KABUPATEN MANGGARAI TIMUR,KABUPATEN MANGGARAI TIMUR,-8.55533,120.59761
5320,53,KABUPATEN SABU RAIJUA,KABUPATEN SABU RAIJUA,-10.56286,121.78894
5321,53,KABUPATEN MALAKA,KABUPATEN MALAKA,-9.5632,124.89481
5371,53,KOTA KUPANG,KOTA KUPANG,-10.21667,123.6
