id,province_id,name,alt_name,latitude,longitude
9401,94,KABUPATEN MERAUKE,KABUPATEN MERAUKE,-7.66667,139.66667
9402,94,KABUPATEN JAYAWIJAYA,KABUPATEN JAYAWIJAYA,-4.08333,139.08333
9403,94,KABUPATEN JAYAPURA,KABUPATEN JAYAPURA,-3.0,139.95
9404,94,KABUPATEN NABIRE,KABUPATEN NABIRE,-3.54016,135.55511
9408,94,KABUPATEN KEPULAUAN YAPEN,KABUPATEN KEPULAUAN YAPEN,-1.78773,136.27716
9409,94,KABUPATEN BIAK NUMFOR,KABUPATEN BIAK NUMFOR,-1.03333,136.0
9410,94,KABUPATEN PANIAI,KABUPATEN PANIAI,-3.9,136.60001
9411,94,KABUPATEN PUNCAK JAYA,KABUPATEN PUNCAK JAYA,-3.67241,137.43896
9412,94,KABUPATEN MIMIKA,KABUPATEN MIMIKA,-4.54357,136.56555
9413,94,KABUPATEN BOVEN DIGOEL,KABUPATEN BOVEN DIGOEL,-5.70519,140.36349
9414,94,KABUPATEN MAPPI,KABUPATEN MAPPI,-6.49971,139.34441
9415,94,KABUPATEN ASMAT,KABUPATEN ASMAT,-5.3795,138.46344
9416,94,KABUPATEN YAHUKIMO,KABUPATEN YAHUKIMO,-4.60403,139.58405
9417,94,KABUPATEN PEGUNUNGAN BINTANG,KABUPATEN PEGUNUNGAN BINTANG,-4.52167,140.29541
9418,94,KABUPATEN TOLIKARA,KABUPATEN TOLIKARA,-3.42661,137.41699
9419,94,KABUPATEN SARMI,KABUPATEN SARMI,-2.41667,139.08333
9420,94,KABUPATEN KEEROM,KABUPATEN KEEROM,-3.3,140.61667
9426,94,KABUPATEN WAROPEN,KABUPATEN WAROPEN,-2.286,137.01837
9427,94,KABUPATEN SUPIORI,KABUPATEN SUPIORI,-0.73881,135.61111
9428,94,KABUPATEN MAMBERAMO RAYA,KABUPATEN MAMBERAMO RAYA,-2.23561,137.78229
9429,94,KABUPATEN NDUGA,KABUPATEN NDUGA,-4.45093,138.10089
9430,94,KABUPATEN LANNY JAYA,KABUPATEN LANNY JAYA,-3.91244,138.28766
9431,94,KABUPATEN MAMBERAMO TENGAH,KABUPATEN MAMBERAMO TENGAH,-2.46064,138.45245
9432,94,KABUPATEN YALIMO,KABUPATEN YALIMO,-3.86037,138.47305
9433,94,KABUPATEN PUNCAK,KABUPATEN PUNCAK,-4.14204,137.09702
9434,94,KABUPATEN DOGIYAI,KABUPATEN DOGIYAI,-4.03186,135.43945
9435,94,KABUPATEN INTAN JAYA,KABUPATEN INTAN JAYA,-3.41016,136.70837
9436,94,KABUPATEN DEIYAI,KABUPATEN DEIYAI,-3.94737,135.95032
9471,94,KOTA JAYAPURA,KOTA JAYAPURA,-2.64647,140.77779
