id,province_id,name,alt_name,latitude,longitude
9101,91,KABUPATEN FAK-FAK,KABUPATEN FAK-FAK,-2.92641,132.29608
9102,91,KABUPATEN KAIMANA,KABUPATEN KAIMANA,-3.66093,133.77451
9103,91,KABUPATEN TELUK WONDAMA,KABUPATEN TELUK WONDAMA,-2.7,134.5
9104,91,KABUPATEN TELUK BINTUNI,KABUPATEN TELUK BINTUNI,-1.88037,133.33105
9105,91,KABUPATEN MANOKWARI,KABUPATEN MANOKWARI,-0.9,133.75
9106,91,KABUPATEN SORONG SELATAN,KABUPATEN SORONG SELATAN,-1.50495,132.28638
9107,91,KABUPATEN SORONG,KABUPATEN SORONG,-1.16667,131.5
9108,91,KABUPATEN RAJA AMPAT,KABUPATEN RAJA AMPAT,-0.5,130.0
9109,91,KABUPATEN TAMBRAUW,KABUPATEN TAMBRAUW,-0.60515,132.48962
9110,91,KABUPATEN MAYBRAT,KABUPATEN MAYBRAT,-1.2155,132.35092
9111,91,KABUPATEN MANOKWARI SELATAN,KABUPATEN MANOKWARI SELATAN,-1.0798,133.96729
9112,91,KABUPATEN PEGUNUNGAN ARFAK,KABUPATEN PEGUNUNGAN ARFAK,-0.93523,133.89587
9171,91,KOTA SORONG,KOTA SORONG,-0.86507,131.25153
