id,province_id,name,alt_name,latitude,longitude
1401,14,KABUPATEN KUANTAN SINGINGI,KABUPATEN KUANTAN SINGINGI,-0.47532,101.45857
1402,14,KABUPATEN INDRAGIRI HULU,KABUPATEN INDRAGIRI HULU,-0.55,102.31667
1403,14,KABUPATEN INDRAGIRI HILIR,KABUPATEN INDRAGIRI HILIR,-0.33333,103.16667
1404,14,KABUPATEN PELALAWAN,KABUPATEN PELALAWAN,0.20822,102.18607
1405,14,KABUPATEN SIAK,KABUPATEN SIAK,0.97453,102.01355
1406,14,KABUPATEN KAMPAR,KABUPATEN KAMPAR,0.2344,101.2131
1407,14,KABUPATEN ROKAN HULU,KABUPATEN ROKAN HULU,0.88333,100.48333
1408,14,KABUPATEN BENGKALIS,KABUPATEN BENGKALIS,0.9838,102.5096
1409,14,KABUPATEN ROKAN HILIR,KABUPATEN ROKAN HILIR,2.16599,100.82514
1410,14,KABUPATEN KEPULAUAN MERANTI,KABUPATEN KEPULAUAN MERANTI,0.97488,102.69539
1471,14,KOTA PEKANBARU,KOTA PEKANBARU,0.53333,101.46667
1473,14,KOTA DUMAI,KOTA DUMAI,1.61592,101.4917
