id,province_id,name,alt_name,latitude,longitude
7301,73,KABUPATEN KEPULAUAN SELAYAR,KABUPATEN KEPULAUAN SELAYAR,-6.81667,120.8
7302,73,KABUPATEN BULUKUMBA,KABUPATEN BULUKUMBA,-5.41667,120.23333
7303,73,KABUPATEN BANTAENG,KABUPATEN BANTAENG,-5.48333,119.98333
7304,73,KABUPATEN JENEPONTO,KABUPATEN JENEPONTO,-5.63333,119.73333
7305,73,KABUPATEN TAKALAR,KABUPATEN TAKALAR,-5.41667,119.51667
7306,73,KABUPATEN GOWA,KABUPATEN GOWA,-5.31667,119.75
7307,73,KABUPATEN SINJAI,KABUPATEN SINJAI,-5.21667,120.15
7308,73,KABUPATEN MAROS,KABUPATEN MAROS,-5.05,119.71667
7309,73,KABUPATEN PANGKAJENE DAN KEPULAUAN,KABUPATEN PANGKAJENE DAN KEPULAUAN,-4.7827,119.5506
7310,73,KABUPATEN BARRU,KABUPATEN BARRU,-4.43333,119.68333
7311,73,KABUPATEN BONE,KABUPATEN BONE,-4.7,120.13333
7312,73,KABUPATEN SOPPENG,KABUPATEN SOPPENG,-4.3842,119.89
7313,73,KABUPATEN WAJO,KABUPATEN WAJO,-4.0,120.16667
7314,73,KABUPATEN SIDENRENG RAPPANG,KABUPATEN SIDENRENG RAPPANG,-3.85,119.96667
7315,73,KABUPATEN PINRANG,KABUPATEN PINRANG,-3.61667,119.6
7316,73,KABUPATEN ENREKANG,KABUPATEN ENREKANG,-3.5,119.86667
7317,73,KABUPATEN LUWU,KABUPATEN LUWU,-2.5577,121.3242
7318,73,KABUPATEN TANA TORAJA,KABUPATEN TANA TORAJA,-3.0024,119.79655
7322,73,KABUPATEN LUWU UTARA,KABUPATEN LUWU UTARA,-2.6,120.25
7325,73,KABUPATEN LUWU TIMUR,KABUPATEN LUWU TIMUR,-2.50957,120.3978
7326,73,KABUPATEN TORAJA UTARA,KABUPATEN TORAJA UTARA,-2.92738,119.79218
7371,73,KOTA MAKASSAR,KOTA MAKASSAR,-5.15,119.45
7372,73,KOTA PARE-PARE,KOTA PARE-PARE,-4.03333,119.65
7373,73,KOTA PALOPO,KOTA PALOPO,-2.97841,120.11078
