id,province_id,name,alt_name,latitude,longitude
7201,72,KABUPATEN BANGGAI KEPULAUAN,KABUPATEN BANGGAI KEPULAUAN,-1.6424,123.54881
7202,72,KABUPATEN BANGGAI,KABUPATEN BANGGAI,-1.2835,122.8892
7203,72,KABUPATEN MOROWALI,KABUPATEN MOROWALI,-1.89342,121.25473
7204,72,KABUPATEN POSO,KABUPATEN POSO,-1.65,120.5
7205,72,KABUPATEN DONGGALA,KABUPATEN DONGGALA,-0.58333,119.85
7206,72,KABUPATEN TOLI-TOLI,KABUPATEN TOLI-TOLI,1.30862,120.88643
7207,72,KABUPATEN BUOL,KABUPATEN BUOL,0.75,120.75
7208,72,KABUPATEN PARIGI MOUTONG,KABUPATEN PARIGI MOUTONG,0.3368,120.17841
7209,72,KABUPATEN TOJO UNA-UNA,KABUPATEN TOJO UNA-UNA,-1.2036,121.48201
7210,72,KABUPATEN SIGI,KABUPATEN SIGI,-1.385,119.96694
7211,72,KABUPATEN BANGGAI LAUT,KABUPATEN BANGGAI LAUT,-1.61841,123.49388
7212,72,KABUPATEN MOROWALI UTARA,KABUPATEN MOROWALI UTARA,-1.7207,121.24649
7271,72,KOTA PALU,KOTA PALU,-0.86972,119.9
