id,province_id,name,alt_name,latitude,longitude
7401,74,KABUPATEN BUTON,KABUPATEN BUTON,-5.31667,122.58333
7402,74,KABUPATEN MUNA,KABUPATEN MUNA,-4.96667,122.66667
7403,74,KABUPATEN KONAWE,KABUPATEN KONAWE,-3.91717,122.08823
7404,74,KABUPATEN KOLAKA,KABUPATEN KOLAKA,-4.08333,121.66667
7405,74,KABUPATEN KONAWE SELATAN,KABUPATEN KONAWE SELATAN,-4.19191,122.44854
7406,74,KABUPATEN BOMBANA,KABUPATEN BOMBANA,-4.6257,121.81641
7407,74,KABUPATEN WAKATOBI,KABUPATEN WAKATOBI,-5.31934,123.5948
7408,74,KABUPATEN KOLAKA UTARA,KABUPATEN KOLAKA UTARA,-3.10452,121.12427
7409,74,KABUPATEN BUTON UTARA,KABUPATEN BUTON UTARA,-5.01457,122.93015
7410,74,KABUPATEN KONAWE UTARA,KABUPATEN KONAWE UTARA,-3.41552,121.99081
7411,74,KABUPATEN KOLAKA TIMUR,KABUPATEN KOLAKA TIMUR,-4.01807,121.86172
7412,74,KABUPATEN KONAWE KEPULAUAN,KABUPATEN KONAWE KEPULAUAN,-4.11656,123.10181
7413,74,KABUPATEN MUNA BARAT,KABUPATEN MUNA BARAT,-4.83333,122.48333
7414,74,KABUPATEN BUTON TENGAH,KABUPATEN BUTON TENGAH,-5.31667,122.33333
7415,74,KABUPATEN BUTON SELATAN,KABUPATEN BUTON SELATAN,-5.56667,122.7
7471,74,KOTA KENDARI,KOTA KENDARI,-3.98333,122.5
7472,74,KOTA BAUBAU,KOTA BAUBAU,-5.477,122.6166
