id,province_id,name,alt_name,latitude,longitude
1201,12,KABUPATEN NIAS,KABUPATEN NIAS,1.03333,97.76667
1202,12,KABUPATEN MANDAILING NATAL,KABUPATEN MANDAILING NATAL,0.78378,99.25495
1203,12,KABUPATEN TAPANULI SELATAN,KABUPATEN TAPANULI SELATAN,1.51667,99.25
1204,12,KABUPATEN TAPANULI TENGAH,KABUPATEN TAPANULI TENGAH,1.9,98.66667
1205,12,KABUPATEN TAPANULI UTARA,KABUPATEN TAPANULI UTARA,2.0028,99.0707
1206,12,KABUPATEN TOBA SAMOSIR,KABUPATEN TOBA SAMOSIR,2.39793,99.21678
1207,12,KABUPATEN LABUHAN BATU,KABUPATEN LABUHAN BATU,2.26667,100.1
1208,12,KABUPATEN ASAHAN,KABUPATEN ASAHAN,2.78333,99.55
1209,12,KABUPATEN SIMALUNGUN,KABUPATEN SIMALUNGUN,2.9,99.0
1210,12,KABUPATEN DAIRI,KABUPATEN DAIRI,2.86667,98.23333
1211,12,KABUPATEN KARO,KABUPATEN KARO,3.11667,98.3
1212,12,KABUPATEN DELI SERDANG,KABUPATEN DELI SERDANG,3.41667,98.66667
1213,12,KABUPATEN LANGKAT,KABUPATEN LANGKAT,3.71667,98.21667
1214,12,KABUPATEN NIAS SELATAN,KABUPATEN NIAS SELATAN,0.77,97.75
1215,12,KABUPATEN HUMBANG HASUNDUTAN,KABUPATEN HUMBANG HASUNDUTAN,2.26551,98.50376
1216,12,KABUPATEN PAKPAK BHARAT,KABUPATEN PAKPAK BHARAT,2.56667,98.28333
1217,12,KABUPATEN SAMOSIR,KABUPATEN SAMOSIR,2.64025,98.71525
1218,12,KABUPATEN SERDANG BEDAGAI,KABUPATEN SERDANG BEDAGAI,3.36667,99.03333
1219,12,KABUPATEN BATU BARA,KABUPATEN BATU BARA,3.16166,99.52652
1220,12,KABUPATEN PADANG LAWAS UTARA,KABUPATEN PADANG LAWAS UTARA,1.46011,99.67346
1221,12,KABUPATEN PADANG LAWAS,KABUPATEN PADANG LAWAS,1.44684,99.99207
1222,12,KABUPATEN LABUHAN BATU SELATAN,KABUPATEN LABUHAN BATU SELATAN,1.983,100.0976
1223,12,KABUPATEN LABUHAN BATU UTARA,KABUPATEN LABUHAN BATU UTARA,2.33349,99.63776
1224,12,KABUPATEN NIAS UTARA,KABUPATEN NIAS UTARA,1.33037,97.31964
1225,12,KABUPATEN NIAS BARAT,KABUPATEN NIAS BARAT,1.05966,97.58606
1271,12,KOTA SIBOLGA,KOTA SIBOLGA,1.73333,98.8
1272,12,KOTA TANJUNG BALAI,KOTA TANJUNG BALAI,2.95833,99.79167
1273,12,KOTA PEMATANG SIANTAR,KOTA PEMATANG SIANTAR,2.96667,99.05
1274,12,KOTA TEBING TINGGI,KOTA TEBING TINGGI,3.325,99.14167
1275,12,KOTA MEDAN,KOTA MEDAN,3.65,98.66667
1276,12,KOTA BINJAI,KOTA BINJAI,3.8,108.23333
1277,12,KOTA PADANG SIDEMPUAN,KOTA PADANG SIDEMPUAN,1.37375,99.26843
1278,12,KOTA GUNUNGSITOLI,KOTA GUNUNGSITOLI,1.32731,97.55018
